"","","","Indicator Code","Indicator Name","Indicator Type","Indicator Subtype","Region","Country","City","Indicator Currency","Indicator Frequency","Source","Source link","Secondary link","Unit","Value Type","Relevence"
"","","","SAFZAXX08Ya117","Final Consumption Expenditure by Households at Constant Prices - Total","Economic","National Output, Income and Spending","Southern Africa","South Africa","","ZAR","Yearly","South African Reserve Bank","https://www.resbank.co.za/Pages/default.aspx","https://www.resbank.co.za/Research/Statistics/Pages/OnlineDownloadFacility.aspx","mn","Currency","L"
"","","","SAFZAXX08Ya116","Final Consumption Expenditure by Households at Constant Prices - Durable Goods","Economic","National Output, Income and Spending","Southern Africa","South Africa","","ZAR","Yearly","South African Reserve Bank","https://www.resbank.co.za/Pages/default.aspx","https://www.resbank.co.za/Research/Statistics/Pages/OnlineDownloadFacility.aspx","mn","Currency","L"
"","","","SAFZAXX08Ya115","Final Consumption Expenditure by Households at Constant Prices - Semi - Durable Goods","Economic","National Output, Income and Spending","Southern Africa","South Africa","","ZAR","Yearly","South African Reserve Bank","https://www.resbank.co.za/Pages/default.aspx","https://www.resbank.co.za/Research/Statistics/Pages/OnlineDownloadFacility.aspx","mn","Currency","L"
"","","","SAFZAXX08Ya114","Final Consumption Expenditure by Households at Constant Prices - Non - Durable Goods","Economic","National Output, Income and Spending","Southern Africa","South Africa","","ZAR","Yearly","South African Reserve Bank","https://www.resbank.co.za/Pages/default.aspx","https://www.resbank.co.za/Research/Statistics/Pages/OnlineDownloadFacility.aspx","mn","Currency","L"
"","","","SAFZAXX08Ya113","Final Consumption Expenditure by Households at Constant Prices - Services","Economic","National Output, Income and Spending","Southern Africa","South Africa","","ZAR","Yearly","South African Reserve Bank","https://www.resbank.co.za/Pages/default.aspx","https://www.resbank.co.za/Research/Statistics/Pages/OnlineDownloadFacility.aspx","mn","Currency","L"
"","","","SAFZAXX08Ya112","Final Consumption Expenditure by Households at Constant Prices (Services) - Rent and Other Housing Services","Economic","National Output, Income and Spending","Southern Africa","South Africa","","ZAR","Yearly","South African Reserve Bank","https://www.resbank.co.za/Pages/default.aspx","https://www.resbank.co.za/Publications/QuarterlyBulletins/Pages/Quarterly-Bulletin.aspx","mn","Currency","L"
"","","","SAFZAXX08Ya111","Final Consumption Expenditure by Households at Constant Prices (Services) - Household Services, Including Domestic Servants","Economic","National Output, Income and Spending","Southern Africa","South Africa","","ZAR","Yearly","South African Reserve Bank","https://www.resbank.co.za/Pages/default.aspx","https://www.resbank.co.za/Publications/QuarterlyBulletins/Pages/Quarterly-Bulletin.aspx","mn","Currency","L"
"","","","SAFZAXX08Ya110","Final Consumption Expenditure by Households at Constant Prices (Services) - Medical Services","Economic","National Output, Income and Spending","Southern Africa","South Africa","","ZAR","Yearly","South African Reserve Bank","https://www.resbank.co.za/Pages/default.aspx","https://www.resbank.co.za/Publications/QuarterlyBulletins/Pages/Quarterly-Bulletin.aspx","mn","Currency","L"
"","","","SAFZAXX08Ya109","Final Consumption Expenditure by Households at Constant Prices (Services) - Transport and Communication Services","Economic","National Output, Income and Spending","Southern Africa","South Africa","","ZAR","Yearly","South African Reserve Bank","https://www.resbank.co.za/Pages/default.aspx","https://www.resbank.co.za/Publications/QuarterlyBulletins/Pages/Quarterly-Bulletin.aspx","mn","Currency","L"
"","","","SAFZAXX08Ya108","Final Consumption Expenditure by Households at Constant Prices (Services) - Recreational, Entertainment and Educational Services","Economic","National Output, Income and Spending","Southern Africa","South Africa","","ZAR","Yearly","South African Reserve Bank","https://www.resbank.co.za/Pages/default.aspx","https://www.resbank.co.za/Publications/QuarterlyBulletins/Pages/Quarterly-Bulletin.aspx","mn","Currency","L"
"","","","SAFZAXX08Ya107","Final Consumption Expenditure by Households at Constant Prices (Services) - Miscellaneous Services","Economic","National Output, Income and Spending","Southern Africa","South Africa","","ZAR","Yearly","South African Reserve Bank","https://www.resbank.co.za/Pages/default.aspx","https://www.resbank.co.za/Publications/QuarterlyBulletins/Pages/Quarterly-Bulletin.aspx","mn","Currency","L"
